epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,3879.07,0.8122,3.6409,0.27823,0.52455,1.29023,0.98451,0.95699,0.96515,0.68119,0.79245,0.739,0.67374,0.21055,1.45781,3.62508,0.5393,0.9436,2.53501,0.0014852,0.0014852,0.0014852
28,4014.82,0.82175,3.64092,0.27427,0.51714,1.29671,0.99843,0.95699,0.96605,0.65731,0.93061,0.74194,0.76669,0.31508,1.46146,3.10976,0.2785,0.71859,2.29088,0.0014654,0.0014654,0.0014654
29,4150.39,0.77924,3.26838,0.25404,0.48256,1.23298,0.98873,0.94302,0.97241,0.68331,0.92513,0.7972,0.81856,0.36726,1.32842,3.1459,0.25232,0.65737,2.32656,0.0014456,0.0014456,0.0014456
30,4286.22,0.80509,3.25864,0.25429,0.4978,1.26447,1,0.95825,0.98272,0.67142,0.95786,0.8172,0.80609,0.30826,1.39274,3.15164,0.24594,0.65818,2.43159,0.0014258,0.0014258,0.0014258
31,4420.51,0.76133,3.43035,0.26128,0.5069,1.25601,0.98885,0.95699,0.97794,0.7,0.95643,0.87097,0.87611,0.33496,1.24907,2.8982,0.20435,0.66147,2.1412,0.001406,0.001406,0.001406
32,4555.15,0.77785,3.41973,0.2664,0.4862,1.26436,0.99741,0.97849,0.99305,0.73805,0.9313,0.91398,0.90684,0.43583,1.09455,2.52815,0.19595,0.56694,1.9849,0.0013862,0.0013862,0.0013862
33,4697.83,0.77639,3.10846,0.25067,0.4654,1.27264,0.99836,0.96774,0.97753,0.74458,0.88719,0.86022,0.83472,0.33062,1.15316,2.74334,0.32547,0.57322,2.02816,0.0013664,0.0013664,0.0013664
34,4848.82,0.82843,3.12394,0.24929,0.4936,1.32599,0.94497,0.95699,0.97043,0.7021,0.76466,0.77419,0.70998,0.29411,1.3059,3.07207,0.3705,0.71731,2.21598,0.0013466,0.0013466,0.0013466
35,4994.57,0.73855,3.12201,0.24567,0.4406,1.24308,0.97794,0.9532,0.96441,0.73589,0.88294,0.81104,0.77756,0.32354,1.19416,2.92467,0.24776,0.64574,2.09202,0.0013268,0.0013268,0.0013268
36,5153.17,0.74804,3.15958,0.23517,0.4595,1.23271,0.98995,0.93548,0.97465,0.71589,0.86618,0.8172,0.77002,0.27539,1.11314,2.9443,0.3777,0.61318,1.96053,0.001307,0.001307,0.001307
37,5305.12,0.71129,2.99768,0.25187,0.44668,1.2003,0.97847,0.97729,0.98786,0.70647,0.90785,0.88172,0.88338,0.42831,1.21599,2.47828,0.15629,0.58958,2.11042,0.0012872,0.0012872,0.0012872
38,5449.93,0.74098,2.94562,0.23459,0.454,1.22738,0.99864,0.94624,0.96295,0.75541,0.91906,0.87097,0.88705,0.46315,1.08143,2.46342,0.23858,0.64562,1.8565,0.0012674,0.0012674,0.0012674
39,5594.9,0.7034,2.87058,0.23406,0.45358,1.20461,0.96723,0.96774,0.96556,0.71029,0.93034,0.86161,0.87528,0.4014,1.30552,2.62567,0.19246,0.75466,2.29041,0.0012476,0.0012476,0.0012476
40,5743.9,0.71991,2.73524,0.22668,0.44219,1.19248,1,0.9253,0.95967,0.68712,0.97669,0.90095,0.91128,0.36691,1.18466,2.75238,0.29137,0.64323,2.16608,0.0012278,0.0012278,0.0012278
41,5889.7,0.69682,3.08818,0.24593,0.44464,1.20648,0.9986,0.95699,0.96149,0.68805,0.95398,0.90323,0.8961,0.37818,1.34473,2.8695,0.25079,0.73685,2.57662,0.001208,0.001208,0.001208
42,6034.19,0.68703,2.71843,0.23163,0.43371,1.19765,0.99825,0.95699,0.96261,0.69074,0.96583,0.91189,0.92094,0.43001,1.188,2.44273,0.28411,0.65249,2.12439,0.0011882,0.0011882,0.0011882
43,6181.64,0.68699,2.84896,0.24123,0.41926,1.19726,0.99819,0.95699,0.96807,0.73255,0.91154,0.87097,0.88236,0.39151,1.2874,2.83898,0.32016,0.64363,2.18767,0.0011684,0.0011684,0.0011684
44,6328.99,0.67469,2.85985,0.23891,0.42036,1.21772,0.98782,0.93548,0.96565,0.71673,0.91952,0.77419,0.80355,0.38868,1.24976,3.21329,0.48967,0.57688,2.09195,0.0011486,0.0011486,0.0011486
45,6464.45,0.68573,2.7486,0.22917,0.40628,1.16485,0.99896,0.95699,0.98883,0.71534,0.92818,0.87097,0.86984,0.38333,1.2574,2.66546,0.3177,0.5563,2.16441,0.0011288,0.0011288,0.0011288
46,6603.66,0.7619,2.87356,0.23651,0.44617,1.27361,1,0.99902,0.995,0.76112,0.9539,0.88992,0.90938,0.39165,1.05725,2.65093,0.1776,0.462,1.96881,0.001109,0.001109,0.001109
47,6739.22,0.67469,2.67277,0.23558,0.42247,1.18041,0.98901,0.96762,0.98171,0.71065,0.96181,0.91398,0.91711,0.40145,1.23952,2.52839,0.28834,0.59857,2.1446,0.0010892,0.0010892,0.0010892
48,6885.05,0.66933,2.65626,0.23313,0.44013,1.17184,0.9909,0.95699,0.96888,0.69699,0.87608,0.83871,0.83672,0.32376,1.29445,2.99583,0.25091,0.66645,2.3679,0.0010694,0.0010694,0.0010694
49,7019.4,0.66195,2.73733,0.22496,0.40881,1.18341,0.99762,0.96774,0.96872,0.68076,0.93976,0.90323,0.90464,0.31207,1.26794,2.70487,0.33695,0.64873,2.36826,0.0010496,0.0010496,0.0010496
50,7153.64,0.65549,2.71032,0.22133,0.40963,1.15221,1,0.9673,0.9704,0.72123,0.97874,0.91398,0.93498,0.40302,1.1519,2.6391,0.33078,0.57196,2.11909,0.0010298,0.0010298,0.0010298
51,7301.02,0.62732,2.50127,0.22113,0.3972,1.14441,0.97653,0.96774,0.97216,0.74463,0.96209,0.88172,0.90442,0.433,1.19287,2.55072,0.23606,0.64425,2.11456,0.00101,0.00101,0.00101
52,7451.94,0.64389,2.47671,0.22375,0.38905,1.17002,1,0.96612,0.96694,0.72748,0.96241,0.82588,0.82622,0.35959,1.28219,2.93334,0.37139,0.66287,2.24846,0.0009902,0.0009902,0.0009902
53,7599.08,0.59398,2.45676,0.21735,0.37527,1.13811,0.99757,0.96774,0.96684,0.68143,0.76197,0.68841,0.66007,0.31336,1.38701,3.29165,0.36789,0.70436,2.59913,0.0009704,0.0009704,0.0009704
54,7742.87,0.60763,2.5172,0.21391,0.38692,1.14022,0.98933,0.99711,0.9934,0.74838,0.91385,0.82796,0.83269,0.48781,1.13907,2.28321,0.30105,0.5258,2.16009,0.0009506,0.0009506,0.0009506
55,7886.61,0.60896,2.33771,0.22856,0.38589,1.16492,0.99755,1,0.995,0.75968,0.94052,0.85013,0.88614,0.47025,1.15847,2.2718,0.32362,0.52034,2.08839,0.0009308,0.0009308,0.0009308
56,8020.3,0.62594,2.47514,0.22582,0.39884,1.14887,1,0.97745,0.97954,0.74134,0.94523,0.89247,0.90037,0.40799,1.15088,2.48906,0.25173,0.5505,2.02168,0.000911,0.000911,0.000911
57,8154.34,0.60566,2.35955,0.20698,0.38616,1.1384,1,0.99883,0.995,0.72873,0.91592,0.86022,0.86656,0.36053,1.19967,2.45126,0.29047,0.52146,2.12648,0.0008912,0.0008912,0.0008912
58,8289.31,0.53575,2.24004,0.21297,0.34293,1.09342,1,0.98908,0.99489,0.74427,0.92309,0.88172,0.88372,0.42833,1.1601,2.39935,0.14484,0.51242,2.16638,0.0008714,0.0008714,0.0008714
59,8428.99,0.58556,2.35642,0.22777,0.37943,1.13648,1,0.99932,0.995,0.73034,0.95317,0.91398,0.90902,0.36036,1.20622,2.58495,0.17184,0.49045,2.2078,0.0008516,0.0008516,0.0008516
60,8569.34,0.68055,2.63224,0.22673,0.59645,1.25804,1,0.95615,0.97318,0.7196,0.93113,0.88172,0.89158,0.46573,1.23114,2.39777,0.16936,0.61724,2.29673,0.0008318,0.0008318,0.0008318
61,8704.41,0.5906,2.2689,0.21036,0.37638,1.15357,1,0.9884,0.98987,0.74073,0.93046,0.89247,0.90271,0.47529,1.15776,2.18881,0.14054,0.48918,2.1646,0.000812,0.000812,0.000812
62,8839.24,0.60975,2.4106,0.2063,0.37972,1.13238,1,0.98866,0.99412,0.74715,0.96879,0.93548,0.93848,0.47575,1.18272,2.16129,0.19419,0.4909,2.30096,0.0007922,0.0007922,0.0007922
63,8974.63,0.63163,2.33568,0.20953,0.37673,1.15466,0.97434,0.96774,0.97631,0.74153,0.95111,0.93548,0.93594,0.48186,1.1563,2.21096,0.19965,0.53038,2.33527,0.0007724,0.0007724,0.0007724
64,9111.61,0.54146,2.15299,0.21765,0.35346,1.10481,0.98623,0.97849,0.99292,0.76786,0.98234,0.93548,0.93995,0.4768,1.05662,2.18196,0.1861,0.47335,2.05168,0.0007526,0.0007526,0.0007526
65,9250.86,0.56014,2.32918,0.22233,0.36028,1.11129,0.99923,0.96774,0.98369,0.77496,0.95549,0.92473,0.93342,0.52381,1.06189,1.95857,0.18598,0.47733,2.1012,0.0007328,0.0007328,0.0007328
66,9389,0.55606,2.16187,0.1995,0.35256,1.1002,1,0.97758,0.98749,0.76483,0.95458,0.92473,0.92823,0.5169,1.06945,1.93028,0.16525,0.4773,2.15859,0.000713,0.000713,0.000713
67,9523.81,0.56409,2.25153,0.21624,0.35636,1.12691,0.999,0.96774,0.97725,0.72507,0.96576,0.93548,0.93737,0.46577,1.19923,2.21772,0.17229,0.50405,2.31796,0.0006932,0.0006932,0.0006932
68,9659.77,0.55254,2.12719,0.22095,0.34828,1.10881,0.99817,0.96774,0.97729,0.74217,0.94272,0.91398,0.91419,0.49481,1.15316,2.10599,0.18739,0.4915,2.23586,0.0006734,0.0006734,0.0006734
69,9794.98,0.55274,2.04574,0.20691,0.34103,1.09947,1,0.99225,0.995,0.77886,0.94331,0.91398,0.91741,0.44715,1.04008,2.18442,0.22649,0.47548,2.07049,0.0006536,0.0006536,0.0006536
70,9931.88,0.62673,2.26776,0.20678,0.42057,1.20432,0.99922,0.96774,0.97872,0.72993,0.94427,0.91398,0.92404,0.46472,1.21169,2.14709,0.23351,0.49761,2.22689,0.0006338,0.0006338,0.0006338
71,10068.5,0.56635,2.11356,0.21715,0.35763,1.12432,1,0.97796,0.99348,0.75586,0.8989,0.87097,0.86195,0.44382,1.17544,2.22719,0.26374,0.52169,2.20409,0.000614,0.000614,0.000614
72,10208.6,0.5064,2.09886,0.20758,0.33333,1.07301,0.99893,0.98925,0.98943,0.76336,0.94312,0.91398,0.90262,0.49833,1.11525,2.07133,0.1831,0.53738,2.1217,0.0005942,0.0005942,0.0005942
73,10343.9,0.53633,2.19361,0.21556,0.32829,1.09814,0.99841,0.96774,0.97598,0.72929,0.8378,0.80645,0.78232,0.3794,1.2624,2.4777,0.29812,0.60076,2.42498,0.0005744,0.0005744,0.0005744
74,10477.8,0.51457,2.08105,0.20088,0.32894,1.08128,0.99914,0.98925,0.99081,0.76527,0.94308,0.91398,0.9154,0.47635,1.10727,2.19865,0.22703,0.52452,2.15459,0.0005546,0.0005546,0.0005546
75,10622.9,0.53378,1.94154,0.21077,0.35056,1.09867,0.99895,0.96774,0.98671,0.76493,0.91016,0.88172,0.88659,0.49445,1.11559,1.93898,0.24816,0.5394,2.09702,0.0005348,0.0005348,0.0005348
76,10760.9,0.53475,2.029,0.21424,0.33057,1.12278,0.99918,0.96774,0.99235,0.79078,0.96587,0.93548,0.93902,0.48652,0.99876,2.02374,0.21368,0.45052,1.88673,0.000515,0.000515,0.000515
77,10899,0.51362,1.88855,0.20037,0.3103,1.07413,0.99925,0.96774,0.98645,0.79031,0.96595,0.93548,0.9544,0.52776,1.04642,1.96593,0.18063,0.48879,1.96037,0.0004952,0.0004952,0.0004952
78,11038.8,0.47484,1.81115,0.20333,0.30404,1.0435,1,0.97776,0.98955,0.76738,0.96592,0.93548,0.94891,0.52847,1.17169,1.97585,0.261,0.48421,2.20103,0.0004754,0.0004754,0.0004754
79,11180.9,0.52412,1.93537,0.20059,0.33845,1.09924,0.99749,0.98925,0.99112,0.79035,0.92127,0.89247,0.90848,0.52714,1.06085,1.93636,0.20553,0.46842,2.09661,0.0004556,0.0004556,0.0004556
80,11319.2,0.48326,1.74054,0.19439,0.31693,1.07545,1,0.99911,0.995,0.76216,0.95236,0.92473,0.92831,0.51106,1.13703,1.9657,0.17014,0.4903,2.19838,0.0004358,0.0004358,0.0004358
81,11466.1,0.48275,1.84487,0.20937,0.30583,1.06245,1,0.99865,0.995,0.75065,0.93091,0.90323,0.90686,0.50666,1.17394,2.09602,0.21822,0.49744,2.23664,0.000416,0.000416,0.000416
82,11602.3,0.54318,1.83957,0.19184,0.32377,1.12567,1,0.98532,0.99479,0.77429,0.94274,0.91398,0.91048,0.53239,1.05114,1.94457,0.26205,0.49579,2.11836,0.0003962,0.0003962,0.0003962
83,11740.6,0.49632,1.92721,0.18372,0.30691,1.0651,0.99898,0.98925,0.99489,0.77766,0.95196,0.92473,0.92495,0.50349,1.0438,2.00065,0.26349,0.49096,2.03794,0.0003764,0.0003764,0.0003764
84,11881.5,0.49574,1.75903,0.19042,0.3047,1.0634,0.99929,0.96774,0.97113,0.76641,0.93267,0.90323,0.90751,0.49403,1.13032,2.08349,0.19812,0.55304,2.18516,0.0003566,0.0003566,0.0003566
85,12022.4,0.52518,1.86154,0.19585,0.35877,1.10565,1,0.98713,0.98662,0.76163,0.9546,0.92473,0.92569,0.48091,1.11064,2.04187,0.19711,0.50697,2.10858,0.0003368,0.0003368,0.0003368
86,12157.1,0.473,1.86081,0.18166,0.32028,1.04803,0.99923,0.96774,0.98444,0.77299,0.9548,0.92473,0.92794,0.49025,1.06611,2.07843,0.29747,0.50856,2.01643,0.000317,0.000317,0.000317
87,12291.9,0.46798,1.82173,0.20799,0.29109,1.06103,0.98912,0.97737,0.98861,0.79194,0.93364,0.91398,0.93011,0.53436,1.00939,1.97116,0.25674,0.49258,1.92464,0.0002972,0.0002972,0.0002972
88,12438.7,0.48909,1.81799,0.2015,0.30182,1.06469,1,0.97801,0.9895,0.78794,0.9659,0.93548,0.9475,0.54597,1.0376,1.8598,0.18695,0.46794,1.98161,0.0002774,0.0002774,0.0002774
89,12584.6,0.46203,1.65189,0.18849,0.30364,1.0716,1,0.98783,0.98858,0.78672,0.96589,0.93548,0.94376,0.56283,1.04447,1.75533,0.18835,0.46323,1.98229,0.0002576,0.0002576,0.0002576
90,12742.9,0.47787,1.74562,0.18829,0.30121,1.04345,1,0.97825,0.98799,0.78605,0.96594,0.93548,0.94201,0.51641,1.06136,1.91299,0.20436,0.48075,2.0201,0.0002378,0.0002378,0.0002378
91,12894.1,0.36146,1.1659,0.17914,0.27377,1.0248,1,0.99975,0.995,0.77422,0.94426,0.93548,0.93993,0.55087,1.13449,1.86639,0.17465,0.45418,2.11922,0.000218,0.000218,0.000218
92,13043.2,0.3521,1.25601,0.2049,0.24813,1.02415,0.99938,1,0.995,0.7672,0.96698,0.95699,0.95936,0.54685,1.16219,1.89206,0.17006,0.43485,2.16163,0.0001982,0.0001982,0.0001982
93,13200.5,0.40672,1.35207,0.19702,0.24728,1.10977,0.99955,1,0.995,0.77388,0.94564,0.93524,0.94175,0.52811,1.12375,2.06044,0.16407,0.47566,2.13126,0.0001784,0.0001784,0.0001784
94,13352.4,0.3481,1.01365,0.15326,0.22356,1.00456,0.99869,1,0.995,0.80146,0.96495,0.93548,0.94657,0.56011,1.07512,1.91847,0.16977,0.45663,1.99518,0.0001586,0.0001586,0.0001586
95,13501.5,0.3906,1.23993,0.19361,0.26449,1.10827,1,0.9995,0.995,0.7806,0.96518,0.93548,0.94701,0.56379,1.09203,1.89371,0.1427,0.45079,2.04913,0.0001388,0.0001388,0.0001388
96,13649,0.3304,1.015,0.13985,0.21796,1.00223,1,0.99566,0.995,0.77574,0.96576,0.93548,0.95028,0.58654,1.12743,1.8551,0.13669,0.45235,2.12539,0.000119,0.000119,0.000119
97,13800,0.33849,1.02781,0.16999,0.21846,1.01978,1,0.9946,0.995,0.78887,0.9658,0.93548,0.95085,0.59739,1.09294,1.84643,0.13718,0.4482,2.06968,9.92e-05,9.92e-05,9.92e-05
98,13947,0.30956,0.93324,0.1542,0.21104,0.97671,1,0.99288,0.995,0.79123,0.96573,0.93548,0.95088,0.5921,1.07125,1.83,0.13769,0.45258,2.04703,7.94e-05,7.94e-05,7.94e-05
99,14090.8,0.29815,0.94221,0.16247,0.20422,0.96575,1,0.98658,0.99489,0.78893,0.96573,0.93548,0.95087,0.58738,1.07299,1.82724,0.14029,0.46694,2.05923,5.96e-05,5.96e-05,5.96e-05
100,14245.8,0.39913,1.01086,0.1596,0.22691,1.10473,1,0.9937,0.995,0.79399,0.96571,0.93548,0.95055,0.59408,1.05751,1.79478,0.14149,0.45563,2.03101,3.98e-05,3.98e-05,3.98e-05
